"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000001","05","1","1","02","","8","4","","05","2","","","","","","","01","1","002","0000001",206
"0000003","01","1","1","01","02","2","3","","05","","2","","","3","1","","01","1","002","0000003",234
"0000004","03","1","1","02","","3","2","","05","","3","","","4","2","1","01","1","002","0000004",198
"0000005","01","1","1","02","","3","3","","05","","2","","","9","2","1","01","1","001","0000005",224
"0000005","05","1","1","01","","3","3","","05","","2","","","4","2","1","01","1","001","0000005",224
"0000006","03","1","1","01","","2","9","","","","","","","","","","01","1","002","0000006",213
"0000010","05","1","1","01","","3","1","5","","","","","","","","","01","1","001","0000010",186
"0000013","04","1","1","01","","2","2","","05","","2","3","","3","2","1","01","1","002","0000013",234
"0000014","02","1","1","03","","3","2","","05","","2","","","3","1","","01","1","001","0000014",188
"0000014","03","1","1","01","","1","3","","03","","1","","","3","2","8","01","1","001","0000014",188
"0000014","05","1","1","01","","2","1","5","","","","","","","","","01","1","001","0000014",188
"0000016","04","1","1","03","","3","4","","05","2","","","","","","","01","1","002","0000016",187
"0000017","01","1","1","01","","2","1","5","","","","","","","","","01","1","002","0000017",187
"0000017","01","1","2","01","","2","1","5","","","","","","","","","01","1","002","0000017",187
"0000019","02","1","1","01","","2","2","","02","","2","","","3","1","","01","1","002","0000019",194
"0000019","04","1","1","01","","2","2","","05","","3","","","3","2","1","01","1","002","0000019",194
"0000020","01","2","1","01","","3","3","","05","","1","","","2","2","3","01","1","001","0000020",197
"0000022","04","1","1","02","","3","2","","05","","1","","","3","2","1","01","1","002","0000022",211
"0000026","03","1","1","02","","2","1","6","","","","","","","","","01","1","002","0000026",203
"0000026","04","1","1","01","","2","4","","07","1","1","","","5","1","","01","1","002","0000026",203
"0000027","04","1","1","03","","2","3","","03","","2","","","3","1","","01","1","001","0000027",199
"0000030","02","1","1","01","","2","3","","08","","3","","","3","1","","01","1","001","0000030",203
"0000035","02","1","1","03","","3","2","","02","","2","","","3","1","","01","1","002","0000035",231
"0000036","04","1","1","01","","3","2","","01","","2","","","3","1","","01","1","003","0000036",230
"0000036","05","1","1","02","","3","2","","02","","2","","","5","2","1","01","1","003","0000036",230
"0000039","01","1","1","02","","3","3","","02","","2","","","4","1","","01","1","002","0000039",226
"0000040","05","1","1","01","","3","3","","05","","1","","","3","2","1","01","1","001","0000040",140
"0000041","05","1","1","03","","3","3","","02","","2","","","9","1","","01","1","002","0000041",196
"0000042","05","1","1","01","","3","3","","01","","2","","","3","1","","01","1","002","0000042",204
"0000043","03","1","1","01","","5","2","","05","","1","","","9","1","","01","1","002","0000043",226
"0000043","04","1","1","02","","3","3","","02","","2","","","2","1","","01","1","002","0000043",226
"0000053","01","1","1","03","","2","2","","02","","2","","","2","2","1","01","1","001","0000053",188
"0000053","02","1","1","02","","3","2","","05","","2","","","3","1","","01","1","001","0000053",188
"0000055","04","1","1","01","","4","2","","05","","1","","","3","2","9","01","1","001","0000055",212
"0000055","05","1","1","01","","3","9","","","","","","","","","","01","1","001","0000055",212
"0000057","01","1","1","03","","2","2","","02","","2","","","2","2","1","01","1","001","0000057",195
"0000057","05","1","1","01","","5","2","","05","","9","","","2","2","9","01","1","001","0000057",195
"0000058","01","1","1","01","","2","2","","05","","9","","","1","2","1","01","1","002","0000058",211
"0000058","05","1","1","01","","3","3","","02","","2","","","3","2","1","01","1","002","0000058",211
"0000059","05","1","1","03","","2","2","","05","","2","","","3","2","1","01","1","002","0000059",205
"0000060","03","1","1","03","","3","2","","02","","2","","","3","2","1","01","1","002","0000060",217
"0000062","05","1","1","02","","3","1","3","","","","","","","","","01","1","002","0000062",228
"0000063","02","1","1","01","","3","3","","05","","2","","","3","2","1","01","1","002","0000063",217
"0000063","02","1","2","02","","3","3","","02","","2","","","3","2","1","01","1","002","0000063",217
"0000064","03","1","1","03","","3","4","","05","1","2","4","","4","2","1","01","1","003","0000064",213
"0000065","05","1","1","01","","2","2","","07","","2","","","2","2","1","01","1","002","0000065",229
"0000068","05","1","1","01","","4","2","","01","","2","","","3","2","1","01","1","002","0000068",225
"0000072","02","1","1","01","","2","4","","05","1","6","","","1","1","","01","1","001","0000072",203
"0000073","02","1","1","01","","3","2","","07","","1","","","4","2","9","01","1","002","0000073",226
"0000074","02","1","1","01","","2","3","","01","","1","6","","3","1","","01","1","002","0000074",239
"0000074","03","1","1","02","","2","2","","01","","2","","","3","2","1","01","1","002","0000074",239
"0000074","05","1","1","02","","3","4","","09","1","1","","","3","1","","01","1","002","0000074",239
"0000077","01","1","1","01","","3","4","","02","2","","","","","","","01","1","002","0000077",212
"0000077","01","2","1","01","","2","2","","05","","2","","","1","2","1","01","1","002","0000077",212
"0000078","02","1","1","02","01","3","4","","05","2","","","","","","","01","1","002","0000078",235
"0000080","03","1","1","01","","3","2","","05","","1","","","9","2","5","01","1","002","0000080",178
"0000080","04","1","1","07","","1","2","","05","","6","","","2","2","1","01","1","002","0000080",178
"0000084","05","1","1","01","","3","1","5","","","","","","","","","01","1","002","0000084",207
"0000086","01","1","1","05","","3","2","","02","","2","","","9","2","1","01","1","001","0000086",138
"0000086","02","2","1","01","","3","1","5","","","","","","","","","01","1","001","0000086",138
"0000086","02","3","1","02","","3","2","","02","","2","","","2","2","8","01","1","001","0000086",138
