"FOLIO","VIV_SEL","HOGAR","N_INF","P3A1_1","P3A1_2","P4_1","P4_2_2","P7_1","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000001","01","1","01","2","","","02","2","01","1","002","0000001",206
"0000001","02","1","02","2","","","02","2","01","1","002","0000001",206
"0000001","03","1","01","2","","","01","1","01","1","002","0000001",206
"0000001","04","1","03","2","","","03","2","01","1","002","0000001",206
"0000001","05","1","01","1","1","","01","2","01","1","002","0000001",206
"0000002","01","1","01","2","","","01","2","01","1","002","0000002",205
"0000002","02","1","01","2","","","01","2","01","1","002","0000002",205
"0000002","04","1","03","2","","","01","2","01","1","002","0000002",205
"0000003","01","1","01","1","1","","01","2","01","1","002","0000003",234
"0000003","02","1","01","2","","","01","1","01","1","002","0000003",234
"0000003","03","1","01","2","","","01","2","01","1","002","0000003",234
"0000003","04","1","01","2","","","01","2","01","1","002","0000003",234
"0000003","05","1","01","2","","","01","1","01","1","002","0000003",234
"0000004","01","1","01","2","","","01","2","01","1","002","0000004",198
"0000004","02","1","02","2","","","02","2","01","1","002","0000004",198
"0000004","03","1","02","1","1","","02","2","01","1","002","0000004",198
"0000004","04","1","01","2","","","01","1","01","1","002","0000004",198
"0000004","05","1","05","2","","","01","1","01","1","002","0000004",198
"0000005","01","1","02","1","1","","02","2","01","1","001","0000005",224
"0000005","02","1","02","2","","","02","2","01","1","001","0000005",224
"0000005","03","1","01","2","","","01","2","01","1","001","0000005",224
"0000005","04","1","01","2","","","01","1","01","1","001","0000005",224
"0000005","05","1","01","1","1","","01","2","01","1","001","0000005",224
"0000006","01","1","01","2","","","01","2","01","1","002","0000006",213
"0000006","02","1","01","2","","","01","2","01","1","002","0000006",213
"0000006","03","1","01","1","1","","01","2","01","1","002","0000006",213
"0000006","04","1","01","2","","","01","2","01","1","002","0000006",213
"0000006","05","1","02","2","","","02","2","01","1","002","0000006",213
"0000007","01","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","02","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","03","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","04","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","05","1","04","2","","","01","1","01","1","002","0000007",201
"0000008","01","1","03","2","","","01","2","01","1","001","0000008",169
"0000008","03","1","01","2","","","01","1","01","1","001","0000008",169
"0000008","04","1","01","2","","","01","2","01","1","001","0000008",169
"0000008","05","1","01","2","","","01","2","01","1","001","0000008",169
"0000009","01","1","01","2","","","01","2","01","1","001","0000009",226
"0000009","02","1","03","2","","","03","2","01","1","001","0000009",226
"0000009","03","1","02","2","","","02","2","01","1","001","0000009",226
"0000009","04","1","01","2","","","01","2","01","1","001","0000009",226
"0000009","05","1","01","2","","","01","2","01","1","001","0000009",226
"0000010","01","1","02","2","","","02","1","01","1","001","0000010",186
"0000010","02","1","01","2","","","01","2","01","1","001","0000010",186
"0000010","03","1","01","2","","","01","1","01","1","001","0000010",186
"0000010","04","1","01","2","","","01","2","01","1","001","0000010",186
"0000010","05","1","02","1","1","","02","2","01","1","001","0000010",186
"0000011","01","1","04","2","","","04","2","01","1","001","0000011",194
"0000011","02","1","01","2","","","01","2","01","1","001","0000011",194
"0000011","04","1","01","2","","","01","2","01","1","001","0000011",194
"0000011","05","1","03","2","","","03","2","01","1","001","0000011",194
"0000012","01","1","01","2","","","01","2","01","1","001","0000012",190
"0000012","03","1","01","2","","","01","2","01","1","001","0000012",190
"0000012","04","1","01","2","","","01","2","01","1","001","0000012",190
"0000012","05","1","05","2","","","02","2","01","1","001","0000012",190
"0000013","01","1","01","2","","","01","2","01","1","002","0000013",234
"0000013","02","1","01","2","","","01","2","01","1","002","0000013",234
"0000013","03","1","01","2","","","01","2","01","1","002","0000013",234
"0000013","04","1","01","1","1","","01","1","01","1","002","0000013",234
"0000013","05","1","03","2","","","03","2","01","1","002","0000013",234
"0000014","01","1","02","2","","","02","1","01","1","001","0000014",188
"0000014","02","1","02","1","1","","02","2","01","1","001","0000014",188
"0000014","03","1","01","1","1","","01","2","01","1","001","0000014",188
"0000014","04","1","03","2","","","03","1","01","1","001","0000014",188
"0000014","05","1","02","1","1","","02","2","01","1","001","0000014",188
"0000015","01","1","02","2","","","02","2","01","1","002","0000015",150
"0000015","02","1","02","2","","","02","2","01","1","002","0000015",150
"0000015","03","1","02","2","","","02","1","01","1","002","0000015",150
"0000015","04","1","01","2","","","01","2","01","1","002","0000015",150
"0000015","05","1","01","2","","","01","2","01","1","002","0000015",150
"0000016","01","1","02","2","","","02","2","01","1","002","0000016",187
"0000016","02","1","01","2","","","01","2","01","1","002","0000016",187
"0000016","03","1","01","2","","","01","2","01","1","002","0000016",187
"0000016","04","1","03","1","1","","03","2","01","1","002","0000016",187
"0000016","05","1","03","2","","","03","2","01","1","002","0000016",187
"0000017","01","1","02","1","2","","02","2","01","1","002","0000017",187
"0000017","02","1","02","2","","","01","2","01","1","002","0000017",187
"0000017","03","1","01","2","","","01","2","01","1","002","0000017",187
"0000018","01","1","01","2","","","01","1","01","1","002","0000018",205
"0000018","02","1","01","2","","","01","1","01","1","002","0000018",205
"0000018","04","1","02","2","","","01","2","01","1","002","0000018",205
"0000018","05","1","02","2","","","02","2","01","1","002","0000018",205
"0000019","01","1","02","2","","","02","2","01","1","002","0000019",194
"0000019","02","1","01","1","1","","01","2","01","1","002","0000019",194
"0000019","03","1","01","2","","","01","2","01","1","002","0000019",194
"0000019","04","1","03","1","1","","03","2","01","1","002","0000019",194
"0000019","05","1","01","2","","","01","2","01","1","002","0000019",194
"0000020","01","1","01","2","","1","01","2","01","1","001","0000020",197
"0000020","01","2","01","1","1","2","","2","01","1","001","0000020",197
"0000020","02","1","01","2","","","01","2","01","1","001","0000020",197
"0000020","03","1","02","2","","","02","2","01","1","001","0000020",197
