"FOLIO","VIV_SEL","HOGAR","CONSEC","P7_4_2","P7_4_3","P7_5","P7_6","P7_7","P7_8","P7_8A","P7_8B","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000008","03","1","2","01","","01","1","2","","2","","01","1","001","0000008",169
"0000008","03","1","4","02","","02","3","2","","2","","01","1","001","0000008",169
"0000008","03","1","1","01","","02","1","2","","2","","01","1","001","0000008",169
"0000008","03","1","3","03","","02","1","2","","2","","01","1","001","0000008",169
"0000034","02","1","1","01","","05","2","2","","2","","01","1","002","0000034",235
"0000034","03","1","1","01","","03","3","2","","2","","01","1","002","0000034",235
"0000035","04","1","1","01","","03","1","2","","2","","01","1","002","0000035",231
"0000035","05","1","2","01","","02","1","2","","2","","01","1","002","0000035",231
"0000035","05","1","1","01","","02","3","2","","2","","01","1","002","0000035",231
"0000036","03","1","2","01","","04","1","2","","2","","01","1","003","0000036",230
"0000036","03","1","1","02","","04","1","2","","2","","01","1","003","0000036",230
"0000036","05","1","1","01","","04","3","2","","2","","01","1","003","0000036",230
"0000052","04","1","1","02","","04","1","2","","2","","01","1","003","0000052",232
"0000052","05","1","1","01","","05","1","9","","2","","01","1","003","0000052",232
"0000062","03","1","1","01","","04","1","2","","2","","01","1","002","0000062",228
"0000062","03","1","2","01","","05","1","2","","2","","01","1","002","0000062",228
"0000062","03","1","3","02","","04","1","2","","2","","01","1","002","0000062",228
"0000079","05","1","1","02","","07","1","2","","2","","01","1","001","0000079",215
"0000081","04","1","1","01","","04","1","2","","2","","01","1","002","0000081",239
"0000085","02","1","1","03","","06","1","2","","2","","01","1","002","0000085",197
"0000100","02","1","1","01","","02","3","2","","2","","01","1","002","0000100",227
"0000100","04","1","1","01","","03","1","2","","2","","01","1","002","0000100",227
"0000100","04","1","2","01","","03","2","2","","2","","01","1","002","0000100",227
"0000117","01","1","1","03","","03","3","1","000060000","1","000010000","01","1","001","0000117",219
"0000119","04","1","1","02","","03","1","2","","2","","01","1","003","0000119",216
"0000119","04","1","2","03","","04","3","2","","2","","01","1","003","0000119",216
"0000126","05","1","1","01","","04","1","2","","2","","01","1","002","0000126",212
"0000126","05","1","2","01","","03","1","2","","2","","01","1","002","0000126",212
"0000127","03","1","1","01","","04","1","1","999999999","2","","01","1","002","0000127",217
"0000138","01","1","1","01","","03","3","2","","2","","01","1","003","0000138",241
"0000138","04","1","1","01","","02","1","2","","2","","01","1","003","0000138",241
"0000139","02","1","1","02","","02","3","2","","2","","01","1","002","0000139",193
"0000139","02","1","2","03","","02","3","2","","2","","01","1","002","0000139",193
"0000177","03","1","1","02","","06","1","1","000100000","1","000020000","01","1","003","0000177",218
"0000177","03","1","2","02","","01","4","2","","2","","01","1","003","0000177",218
"0000178","01","1","2","03","","02","3","2","","2","","01","1","001","0000178",220
"0000178","01","1","1","02","","02","1","2","","2","","01","1","001","0000178",220
"0000181","05","1","1","02","","04","1","1","000050000","2","","01","1","003","0000181",225
"0000203","02","1","1","01","","06","1","1","000030000","1","000020000","01","1","003","0000203",214
"0000203","04","1","1","01","","07","1","2","","2","","01","1","003","0000203",214
"0000219","04","1","1","01","","02","3","2","","2","","01","1","001","0000219",232
"0000231","05","1","1","01","","02","3","2","","2","","01","1","003","0000231",227
"0000236","02","1","1","01","","08","1","2","","2","","01","1","001","0000236",216
"0000252","02","1","1","01","","04","1","2","","2","","01","2","005","0000252",215
"0000254","14","1","1","01","","04","1","2","","2","","01","2","007","0000254",196
"0000254","14","1","2","01","","07","1","2","","2","","01","2","007","0000254",196
"0000255","08","1","2","01","","04","3","2","","2","","01","2","008","0000255",202
"0000255","08","1","1","01","","03","1","2","","2","","01","2","008","0000255",202
"0000263","15","1","1","01","","02","3","2","","2","","01","3","009","0000263",216
"0000268","13","1","1","01","","04","1","2","","2","","01","3","010","0000268",231
"0000276","06","1","1","01","","03","3","2","","2","","01","4","011","0000276",184
"0000279","16","1","1","02","","08","3","2","","2","","01","4","011","0000279",197
"0000284","14","1","1","02","01","05","1","2","","2","","01","4","011","0000284",222
"0000284","14","1","2","02","01","05","1","2","","2","","01","4","011","0000284",222
"0000285","16","1","1","02","","03","1","1","000003500","2","","01","4","011","0000285",231
"0000286","18","1","1","01","","06","1","2","","2","","01","4","011","0000286",176
"0000293","04","1","1","01","","06","1","2","","1","000014000","01","1","002","0000293",192
"0000304","05","1","1","01","","02","1","2","","2","","01","1","002","0000304",827
"0000327","04","1","1","01","","05","3","2","","2","","02","1","023","0000327",632
"0000439","05","1","1","01","","04","1","2","","2","","02","1","014","0000439",547
"0000440","01","1","1","01","","06","1","2","","2","","02","1","013","0000440",486
"0000440","01","1","2","01","","03","1","2","","2","","02","1","013","0000440",486
"0000474","01","1","1","01","","04","1","2","","2","","02","1","013","0000474",634
"0000474","01","1","2","01","","09","1","2","","1","000080000","02","1","013","0000474",634
"0000537","02","1","1","02","","08","1","2","","2","","02","1","013","0000537",537
"0000537","02","1","4","02","","04","1","2","","1","000020000","02","1","013","0000537",537
"0000537","02","1","3","02","","05","1","2","","2","","02","1","013","0000537",537
"0000537","02","1","2","02","","05","1","2","","2","","02","1","013","0000537",537
"0000539","04","1","1","01","","02","3","2","","2","","02","1","012","0000539",863
"0000543","02","1","1","01","","02","1","2","","2","","02","1","012","0000543",571
"0000545","04","1","1","01","","04","1","2","","2","","02","1","014","0000545",526
"0000573","04","1","1","01","","03","1","2","","1","000050000","02","1","014","0000573",623
"0000584","06","1","1","01","","04","1","1","000004000","2","","02","2","026","0000584",387
"0000588","06","1","1","04","","06","1","2","","2","","02","2","025","0000588",606
"0000588","06","1","2","03","","06","3","1","000150000","2","","02","2","025","0000588",606
"0000602","17","1","1","01","","04","1","2","","2","","02","3","027","0000602",428
"0000606","06","1","7","01","","01","1","2","","2","","02","3","027","0000606",782
"0000606","06","1","6","01","","01","1","2","","2","","02","3","027","0000606",782
"0000606","06","1","5","01","","01","1","2","","2","","02","3","027","0000606",782
"0000606","06","1","4","01","","01","1","2","","2","","02","3","027","0000606",782
"0000606","06","1","1","01","","02","1","2","","2","","02","3","027","0000606",782
"0000606","06","1","2","01","","01","1","2","","2","","02","3","027","0000606",782
"0000606","06","1","3","01","","01","1","2","","2","","02","3","027","0000606",782
"0000618","10","1","1","01","","08","2","1","000100000","2","","02","4","030","0000618",854
"0000637","04","1","1","02","","03","1","2","","2","","02","2","026","0000637",2650
"0000655","02","1","1","03","","03","1","1","999999999","1","999999999","03","1","032","0000655",95
"0000668","05","1","1","02","","03","1","2","","2","","03","1","033","0000668",112
"0000673","02","1","1","01","","02","1","2","","2","","03","1","033","0000673",105
"0000673","02","1","2","01","","01","1","1","000015000","2","","03","1","033","0000673",105
"0000675","03","1","1","01","","04","1","2","","2","","03","1","033","0000675",123
"0000681","04","1","1","01","","05","1","2","","2","","03","1","033","0000681",102
"0000715","03","1","1","01","","05","1","2","","2","","03","1","033","0000715",130
"0000750","04","1","1","01","","06","1","2","","2","","03","1","033","0000750",128
"0000770","04","1","1","02","","04","3","2","","2","","03","1","031","0000770",110
"0000776","19","1","1","01","","06","1","1","000050000","2","","03","2","036","0000776",146
"0000776","19","1","2","02","","06","1","1","000050000","2","","03","2","036","0000776",146
"0000779","13","1","1","01","","01","3","2","","2","","03","2","034","0000779",124
"0000781","20","1","1","02","","03","3","2","","2","","03","2","034","0000781",127
"0000782","09","1","1","02","","04","1","2","","2","","03","2","036","0000782",154
"0000784","01","1","1","01","","01","1","2","","1","000035000","03","2","034","0000784",202
"0000784","01","1","2","01","","01","3","1","000050000","2","","03","2","034","0000784",202
"0000785","10","1","1","02","","07","1","2","","2","","03","2","036","0000785",156
"0000791","06","1","1","02","","05","3","2","","2","","03","2","035","0000791",136
"0000792","20","1","1","01","","04","1","2","","2","","03","2","034","0000792",192
"0000795","14","1","1","01","02","05","1","2","","2","","03","2","036","0000795",126
"0000802","10","1","1","02","","02","1","2","","2","","03","2","038","0000802",114
"0000802","13","1","1","01","","04","1","2","","2","","03","2","038","0000802",114
"0000804","01","1","1","01","","06","1","2","","2","","03","3","040","0000804",116
"0000804","10","1","1","08","","03","3","2","","2","","03","3","040","0000804",116
"0000807","17","1","1","02","","03","3","2","","2","","03","3","041","0000807",99
"0000808","06","1","1","02","","02","1","1","000020000","2","","03","3","041","0000808",106
"0000808","17","1","1","02","","02","1","2","","2","","03","3","041","0000808",106
"0000829","15","1","1","01","","02","2","1","000000000","2","","03","4","043","0000829",95
"0000831","10","1","1","01","","02","1","2","","1","000015000","03","4","043","0000831",127
"0000846","03","1","1","01","","04","1","2","","2","","03","2","034","0000846",432
"0000855","05","1","1","01","","03","3","2","","1","000011000","04","1","045","0000855",99
"0000856","02","1","2","03","","08","1","2","","2","","04","1","045","0000856",98
"0000856","02","1","1","03","","08","1","1","999999999","2","","04","1","045","0000856",98
"0000856","05","1","2","02","","03","5","2","","1","000005000","04","1","045","0000856",98
"0000856","05","1","1","02","","03","5","2","","2","","04","1","045","0000856",98
"0000859","01","1","1","02","","02","9","9","","9","","04","1","044","0000859",180
"0000859","01","1","2","02","","99","3","2","","2","","04","1","044","0000859",180
"0000876","01","1","1","01","","07","1","2","","2","","04","1","044","0000876",223
"0000879","01","1","1","02","","04","1","2","","2","","04","1","045","0000879",129
"0000885","05","1","1","02","01","03","1","2","","2","","04","1","044","0000885",164
"0000891","04","1","1","01","","05","3","2","","2","","04","1","046","0000891",145
"0000897","01","1","1","01","","05","1","2","","2","","04","1","045","0000897",127
"0000898","01","1","3","01","","05","1","2","","2","","04","1","045","0000898",94
"0000898","01","1","2","01","","05","2","2","","2","","04","1","045","0000898",94
"0000898","01","1","1","01","","07","1","2","","2","","04","1","045","0000898",94
"0000899","01","1","2","01","","04","1","2","","2","","04","1","045","0000899",110
"0000899","01","1","1","03","","05","1","2","","2","","04","1","045","0000899",110
"0000899","03","1","1","01","","11","1","2","","2","","04","1","045","0000899",110
"0000900","03","1","1","01","","05","4","1","000020000","1","000020000","04","1","044","0000900",150
"0000912","05","1","1","01","","03","1","1","000015000","1","000020000","04","1","045","0000912",146
"0000924","03","1","1","05","","05","3","2","","2","","04","1","045","0000924",165
"0000924","03","1","2","01","","08","3","2","","2","","04","1","045","0000924",165
"0000926","03","1","1","02","","04","1","1","000010000","1","000000600","04","1","044","0000926",166
"0000934","01","1","1","02","","02","1","2","","2","","04","1","044","0000934",137
"0000948","03","1","1","01","","03","1","2","","2","","04","1","046","0000948",170
"0000953","05","1","1","02","","03","1","2","","2","","04","1","046","0000953",120
"0001005","03","1","1","01","","03","1","2","","2","","04","1","049","0001005",129
"0001012","01","1","1","02","","04","2","2","","2","","04","1","049","0001012",141
"0001013","01","1","1","02","","04","1","2","","2","","04","1","050","0001013",201
"0001031","04","1","1","02","","02","1","2","","2","","04","1","051","0001031",162
"0001031","04","1","2","01","","03","1","2","","2","","04","1","051","0001031",162
"0001031","04","1","3","01","","02","3","2","","2","","04","1","051","0001031",162
"0001033","03","1","1","01","","04","1","2","","2","","04","1","051","0001033",159
"0001033","03","1","2","02","","03","3","2","","2","","04","1","051","0001033",159
"0001033","03","1","3","02","","05","1","2","","2","","04","1","051","0001033",159
"0001035","02","1","1","02","","03","1","1","000010000","2","","04","1","049","0001035",160
"0001042","08","1","1","02","","04","3","1","000090000","2","","04","2","052","0001042",137
"0001042","08","1","2","03","","01","3","1","000020000","2","","04","2","052","0001042",137
"0001042","08","1","3","02","","01","3","2","","2","","04","2","052","0001042",137
"0001059","03","1","1","01","","01","3","2","","2","","04","3","055","0001059",240
"0001069","14","1","1","01","","06","1","2","","2","","04","3","054","0001069",170
"0001072","05","1","1","02","","02","1","2","","2","","04","1","049","0001072",224
"0001086","17","1","1","01","","03","1","2","","2","","04","4","056","0001086",172
"0001087","12","1","1","01","","03","1","1","000003000","2","","04","4","056","0001087",176
"0001088","18","1","1","01","","03","1","2","","2","","04","4","056","0001088",152
"0001091","09","1","1","01","","03","1","2","","2","","04","4","056","0001091",146
"0001091","14","1","1","01","","03","1","2","","2","","04","4","056","0001091",146
"0001092","11","1","1","01","","03","1","1","000011000","1","000009000","04","4","056","0001092",209
"0001092","18","1","1","01","","02","1","1","000030000","2","","04","4","056","0001092",209
